Funding_Amount,Employees,Revenue,Market_Growth_Rate,Success
1742743,192,4270538,1.2473715467734103,1
4354572,485,6496460,0.9955227219213709,1
4976484,120,6207323,1.9005377356398119,1
2284489,195,3631581,0.5113015447011121,1
1620006,257,4256238,0.8379991965687923,1
1186074,473,5973135,1.0480352295110864,1
4094887,420,8824131,1.2317147012131069,1
1289911,475,3609865,1.7762262767542194,1
4522471,165,5392287,0.6318314368102158,1
2188242,260,8000340,1.7087973301117152,1
4573669,327,1049458,0.583480234035463,1
1816891,132,3782811,1.7634710529472724,1
4571373,22,2327336,0.5774532168117692,1
3394769,285,2773642,0.5273637221425416,1
841743,494,7699684,1.5454421935496323,0
153355,227,3798340,1.9958833021525915,0
1312752,58,207775,1.8449153944610313,0
1446025,62,2396488,1.36399762670849,1
1357371,327,797494,1.8760934196282975,0
967040,364,5861244,0.5079500095964081,0
2303882,178,5342660,1.9626007444177138,1
3580409,284,9599801,1.2361231688881766,1
4899115,118,6847433,1.5843441449326634,1
4771339,292,5093769,1.7312922097300287,1
4892447,435,543636,1.5776859062548305,0
1550942,346,4242406,1.3025550980673657,1
4310029,155,2286360,1.2149292261896179,1
3325709,454,4418249,1.7578738380539372,1
134654,131,4436219,0.8076163402241887,0
2004354,159,8924438,1.9519910997563514,1
2466182,494,1342397,1.5664287182551224,1
3524675,390,7527836,0.7992603910074796,1
2702991,478,9116824,1.6043707755477323,1
2478388,277,6656705,1.294760034771675,1
578178,108,5472810,1.5608451434666668,0
2713046,421,8915921,1.6516692521642582,1
2636644,397,6913836,0.6309352693845132,1
2620406,303,9736290,1.2591559345390206,1
3466664,250,6253669,1.8980215133854013,1
3435659,180,1296643,0.9809632882392714,1
3435357,43,9932192,1.3908246463368483,1
2845513,481,8325390,1.0538457222648443,1
1515689,174,6210646,1.1814019583286495,1
118148,251,6993896,1.3229046769072297,0
1875665,30,8793148,1.323382969833466,1
2795683,359,5419861,0.8025956934953538,1
3447723,310,4949003,1.52685732181975,1
3053758,413,6321326,0.6318021668639853,1
4106518,412,5156386,0.7082371601630306,1
2719995,17,8425398,0.5040663491214945,0
4500812,320,458345,0.6750440962125219,0
4848669,395,9147682,1.2097493015778382,1
1920928,317,7837494,1.4091528215837579,1
4205299,40,3695501,1.6914341749496937,1
2607489,177,1889490,0.6600488751701541,1
1823415,24,4994445,1.776091190024682,1
2355413,325,6949705,1.6189617883230771,1
3960197,268,7012587,1.1127774394038754,1
321836,498,6752471,1.899407100649932,0
3634702,404,1464908,1.986394214686086,1
2145505,146,3329144,0.8075027150798559,1
2349435,464,8703670,1.0688428774457006,1
